stimulus,starting_erb
gaap,2.8128061328502807
peuk,1.2753899871017627
schaats,1.1434526133646674
spijs,1.1823310315218547
goud,2.773657271841802
sjeik,2.4949405806464022
pauw,1.7597791799902525
ijs,1.0783294009355002
teek,1.7992207751926685
heup,1.3205264152121163
kaak,2.81494136962478
spuit,1.9607927575566526
toast,2.614723592108031
spaak,1.5253691598423502
kuip,1.5471612037758151
eik,2.976832056826981
saus,2.3672572118589246
puist,1.964611419027838
geit,2.447371708762019
fee,0.9797365371661607
kuit,2.0417189655186836
huis,3.0729412494338715
keu,2.4932775894794483
staat,2.9741883679240697
schaaf,2.95040128460966
pees,2.6763686534939604
oog,1.5758550702940037
haak,2.546834893807551
feest,1.6372218660831583
geest,0.9033196524552167
schaap,1.5948079283078505
kous,1.2731022306217792
aas,1.9867605457510626
scheut,2.5161858803127815
haas,1.3335508735671704
feit,2.034306509063459
tape,2.6544316679796416
stoot,0.8309205609051437
schijf,2.7925673649033116
kaas,1.7213545911097556
huid,1.0565532288875612
aap,2.3997553253641466
touw,1.2544647411338674
gaas,2.5119559118077848
paus,1.4994963776322423
kuif,2.2925139137160304
keus,3.1353579689814586
goot,1.0539877868307643
staaf,1.7807617607791921
pook,3.146655703931891
kei,1.8428193441534686
hei,1.7160579229854551
tijd,1.3401576887269153
thee,2.878029074119078
hoop,2.1553421967029474
cape,2.046111198365277
steeg,2.5418233987022743
poos,2.0450249544150734
hout,1.8704717211146824
schoot,1.7704084799130555
poot,0.8325695275334306
taak,1.7504019561008568
haast,2.6895174221466127
cake,1.2442852008656953
hoofd,2.2131387820745276
haag,2.924725134281787
pijp,1.2913505255729636
steek,2.8188477344762797
spook,0.8278948779131399
kou,3.0874508789546247
