stimulus,starting_erb
spuit,1.023261548982934
kuif,1.7219764612420405
pook,1.9426429475371092
aas,0.9463053503979677
paus,3.0975809680417092
pijp,2.931642987474841
hoofd,0.9068125488052664
geit,1.6549543903902135
haast,1.3275220295827277
schaaf,2.193918710127218
kous,2.6979666504084285
spook,2.665689395823159
tijd,3.0911972576175817
oog,2.767894164663888
taak,3.1058680188739034
eik,2.0525323854637065
peuk,2.4718655888941674
steek,2.196884817962457
fee,2.289501351888297
kaak,1.9275518185101042
ijs,2.665740018835461
gaap,2.128303970822848
pauw,3.0287923504838936
schaap,3.1495215942077968
schoot,1.1172694358534125
schaats,2.499739666643929
toast,1.6615948711648796
teek,1.0719794351103222
staaf,1.2341658461676672
goud,2.0913340166825676
touw,2.300688274506046
hei,2.9699508254558453
hoop,0.9649234065249914
tape,1.49376379189713
spijs,2.254956053592734
schijf,2.2305949915708188
scheut,1.3902969439174195
sjeik,1.607860204057725
kuip,2.8886893204183655
keus,2.056287120420475
thee,1.8333692007990088
kou,1.9109709327793563
huis,1.8474933315193658
saus,1.3564250816800587
puist,1.0620509496587023
staat,2.137713806515766
cape,0.9640320785749787
kuit,0.907139373655163
kaas,2.8114953979137116
goot,2.693293392780566
keu,1.514954072029055
kei,1.1693707235724546
geest,2.591995287581811
hout,0.8765339267981139
poot,2.654892157575541
haas,2.9381477668383202
stoot,2.4940562891524376
pees,1.60765283953623
feit,0.9130919333574461
huid,2.714593271712556
aap,1.337801163213654
heup,3.1963790351569097
spaak,2.831631167709784
gaas,1.7549974251449956
haag,1.8476563180617358
feest,3.0154728597928
poos,1.261888940944981
steeg,1.4391314582802484
cake,2.7080952771033653
haak,1.639014283689165
