stimulus,starting_erb
tape,2.4297701546304054
cape,1.7638782559200228
goud,3.0692669398610573
sjeik,2.2494579464584312
schaap,1.4809709184384654
haast,2.4110788668601626
thee,2.8386881081719166
schijf,2.780617365695583
steeg,2.3854318671282635
poot,1.2180672758835787
fee,1.118746187472972
huid,1.2558733200148604
schoot,1.9138404420236934
haak,2.5245577943898594
teek,1.9077240493211418
toast,2.285127498984247
oog,1.329777379429403
goot,1.0091606490136589
aap,2.253972340682232
spijs,0.9005213285623226
hoofd,1.8019786158886129
peuk,1.126553826998696
hei,1.3383035764230689
staaf,2.1328594474715277
gaas,2.4471158882284874
spook,1.0089383356002943
cake,1.2507855778858006
schaats,1.0906409657418643
stoot,1.1521421279537236
saus,2.4140983785633896
kuip,1.565030608762513
geest,1.2175373875494189
pijp,1.572554743734945
taak,1.496918689906963
kous,0.8037088802775318
ijs,1.0283254056933715
haas,1.4420839273566421
spuit,1.8357096773877752
hoop,1.888374733182618
kuif,2.5597685250730415
hout,2.1687213822437927
spaak,1.3109825338832888
keus,2.895123822693798
haag,2.7690166378795835
feit,1.9068370143326507
scheut,2.5351486116591655
schaaf,2.9351955763041566
pauw,1.3005451017186471
touw,1.185233512274455
kei,1.9713210920273
huis,2.7871369826392196
pook,2.793298750029843
geit,2.3984292341269593
paus,1.3591950236995471
steek,3.102534196170982
tijd,1.58663922585389
poos,2.065224546495214
pees,2.4710751502514583
gaap,3.039481035102198
aas,2.1550007464512344
heup,1.7492174874712694
kou,3.004808207991762
eik,3.0635996100074183
puist,1.8188323740791028
staat,3.042926951154933
kaas,1.3063478368556238
kaak,3.007583842491136
feest,1.4328681881337695
keu,2.4733697006779707
kuit,2.16791357301874
