stimulus,starting_erb
huid,2.0003197554230914
schaats,1.9180955017138235
pijp,2.2612921141058675
kuit,3.005845508030858
stoot,2.025741973590738
tijd,2.6191829096667196
staaf,2.984484705497604
scheut,0.9820126719526399
goot,1.9755660028615543
hei,2.28080981428016
poot,2.0949735788514423
kou,1.3289293222273315
ijs,2.129022720701853
kous,2.0060390157168175
spaak,2.586592807092874
keus,1.4072802515766858
thee,1.5576209407506336
spook,2.1125071106975373
kaak,1.5074251317424654
saus,1.0531345462298654
oog,2.652673977084448
puist,3.0440985934514466
steeg,0.8883103178505712
huis,1.5319600218177922
haast,1.2586631102911652
haak,0.9958452686220374
geest,2.205146954903266
gaas,0.8969442134693918
keu,1.1410979596451925
feit,3.146806946133873
kei,2.745021372568129
teek,3.1904957236434686
cake,1.9742937466774346
tape,1.181932228991316
pees,1.1909626660501487
eik,1.4617292054053943
toast,1.2501650610101398
pauw,2.602060543413004
taak,2.2447665014159477
heup,2.6124853935919323
haas,2.557410460617586
hout,3.018139254598398
cape,2.7695985570927104
gaap,1.5891495394844182
kuip,2.3876750256673778
schijf,1.4212715071097652
staat,1.7492898076729615
schoot,2.743968379021341
pook,1.556123505051405
feest,2.5775065114843487
paus,2.5275962564298764
haag,1.7372290967965616
aas,2.871566901197861
poos,3.0369596225939564
steek,1.6496970452034803
kaas,2.5366740557734633
sjeik,1.1341897402828471
hoofd,2.8525927443884656
schaap,2.2573358678221807
spuit,3.0136278543785013
schaaf,1.7242188909806817
hoop,2.9641960440387094
fee,2.1053773019269495
touw,1.8614687400448837
peuk,1.822204812526619
aap,0.8939453041474412
spijs,2.234501260353466
geit,0.9980483104522476
goud,1.5579641370569037
kuif,0.8720399927108964
