stimulus,starting_erb
kuip,1.1969322473450936
haak,1.9899921453892946
kaak,2.5278828714300303
puist,1.3724481611251655
poot,2.8970398101499324
saus,2.1153732816915527
sjeik,1.9806444293270005
gaas,1.8013341595961325
hei,0.8928993552386507
haag,2.6030033451017145
eik,2.4612044287530543
cape,1.6364535307769392
gaap,2.4398610334974964
keus,2.590584521164169
poos,1.4879543575213223
toast,1.7920984206841508
stoot,2.9127214684805773
schaaf,2.2945527291639403
pauw,0.9697182668145984
pook,2.3552302711623403
spuit,1.7256062105477765
kei,1.3701165713573034
ijs,2.921429787360148
tijd,0.9501520711168596
kuit,1.3362788577005753
pees,2.046786680932904
paus,0.8304014282221561
geest,3.0416076653946202
schoot,1.5796059585672735
aap,1.9706518356845726
fee,2.9878383713023013
pijp,0.8602580568402541
steeg,1.9054800526720541
huis,2.365709564615814
goud,2.5475034263072542
hoofd,1.5097859679959387
huid,2.8084099631645243
feest,1.1844224334975255
peuk,2.7606838373540943
taak,1.1208963974363657
thee,2.495924759901402
teek,1.4230344214923032
haas,0.8552919746545421
hout,1.4852381556255947
touw,3.017367690997979
goot,2.9042527036871526
aas,1.5185826356336205
scheut,2.135849577224207
steek,2.517152231719118
kous,2.9685639966594426
schaap,1.0974936746764368
spijs,2.931469036253139
keu,2.0103504568292534
schijf,2.40325774483778
cake,2.820495694684043
kou,2.326356112597351
oog,1.1975123538632944
kaas,1.187376505291621
geit,1.9017044063409287
kuif,2.224662905344995
spook,2.8668341682985896
tape,1.9062351280386975
schaats,3.0857251480667127
heup,1.0768361619389784
spaak,1.2246713500460638
feit,1.731040298829252
hoop,1.7234724841810407
staat,2.376012609676061
staaf,1.3553909000407394
haast,2.0723911971456146
