stimulus,starting_erb
kuit,1.8190943055145254
keu,2.46237536925084
feest,1.5932413929577067
kaak,2.837480387096802
kaas,1.5317822149864857
staat,3.0089484358694074
puist,2.034722118771175
eik,2.739432574036266
kou,2.8922495285135006
heup,1.5170617088385296
aas,1.864016828800826
gaap,3.1269618050250054
pees,2.690669923938829
poos,1.9524687312634967
tijd,1.6943911389030804
steek,3.061931394309404
paus,1.7276116045210637
geit,2.425367979304414
pook,2.95829556190283
huis,3.0837864221096183
kei,2.0020318696769475
touw,0.900604873153301
pauw,1.377111236872978
schaaf,2.9122461053875055
scheut,2.675692412377714
feit,1.9649411922931086
haag,2.984345056553195
keus,3.0290848070563987
spaak,1.7273036178601324
hout,2.1143164397911587
kuif,2.3283792626086908
hoop,2.225019110814886
spuit,2.187163962658154
haas,1.619818702596581
ijs,1.095416656960885
kous,1.0264528391276133
taak,1.5478156439584247
pijp,1.6551662189432559
geest,1.023855823529053
kuip,1.7596687484778584
saus,2.5367386183597698
stoot,0.8563207686839795
schaats,0.8242732205432897
cake,0.8322081608900082
spook,1.196474696987039
gaas,2.4088870015406845
staaf,1.9527701683352565
hei,1.6513536622589702
peuk,1.1882336957261939
hoofd,1.9872769697265058
spijs,0.8930600087070115
aap,2.6607484940158272
goot,1.1707579864815845
oog,1.5303900024978363
toast,2.6087993333409654
teek,2.170859044031325
haak,2.2815953883243307
schoot,1.8060000896409802
huid,0.9640743554106634
fee,1.252221545572136
poot,1.192387591276326
steeg,2.687849599734674
schijf,2.940220021040048
thee,2.8709611872711562
haast,2.497172429665254
schaap,1.4698433367662718
sjeik,2.3611501992542503
goud,2.9701784984882824
cape,2.1538771129657075
tape,2.3530694376094203
