stimulus,starting_erb
touw,3.144643231539031
huid,2.8747082684045298
kuit,1.5762373631698965
huis,2.394122544241565
feit,1.4232715706868904
hoop,1.6134540121516623
kei,1.4273294637686003
goud,2.538729721434812
cape,1.6469772240296914
pauw,0.9854560890847294
schaats,2.964328956315191
kuif,2.1310002643522794
haag,2.3910227262978165
gaap,2.47221946489763
geit,2.1906173371918007
spook,2.7859946615610647
schijf,2.2524921374267572
tijd,0.8355614680932031
spaak,1.0230703771410292
kuip,0.8428606057314796
gaas,2.1144272170408978
scheut,2.064455908602236
paus,1.110494201148285
fee,3.1327771503056403
hei,1.1219645845124966
thee,2.3082534746514094
keu,2.0809477293817977
stoot,3.1561341058951613
aap,1.8291474484847539
pees,2.193948783914178
poos,1.6092933515020007
toast,2.1756725626440203
steeg,1.9343246033612371
haak,1.9012103766167203
kous,3.045220838860028
staat,2.6490042285018287
kaak,2.6483402882160645
eik,2.408272329381642
schaaf,2.672830859957752
haas,0.9716042068199358
pijp,0.9620585921371689
geest,2.7692811605735144
hout,1.5986214688824054
peuk,3.019605129992433
kou,2.289843879839687
teek,1.6645539330096635
aas,1.4249357736686232
tape,1.772715674447604
poot,2.8799763001124035
haast,2.111343070731057
keus,2.5527590988912867
puist,1.474916785319414
kaas,1.0851614437894679
steek,2.528325535012283
spijs,3.026289468507315
spuit,1.327110901764902
saus,2.2219081325992285
hoofd,1.4996604973946623
schoot,1.4299180761123265
pook,2.447395582608622
goot,2.934593138078103
feest,1.0837895229724346
cake,2.892912799245573
heup,1.1565617541906053
oog,1.1855755266321648
sjeik,2.1122399901203983
staaf,1.754146993501711
schaap,1.205674074607689
ijs,2.756391432404318
taak,1.099738519637692
