stimulus,starting_erb,starting_bin
schijf,2.338450142128344,4
haak,2.129795320354954,3
gaas,2.001269186262154,3
pook,2.6748108607086745,4
oog,0.8552863552889469,1
hout,1.4106973308891162,2
tijd,0.8775244227897112,1
cape,1.3775906777796854,2
haas,0.9905102545980462,1
ijs,2.847283734462732,5
eik,2.259933136670528,4
schaats,2.742131741798399,5
staaf,1.6019732280137677,2
geest,3.0957717046524444,5
hoofd,1.4293888040316272,2
schoot,1.5138576475938899,2
aas,1.4985602027347533,2
haag,2.565139871458097,4
touw,3.1731408839838506,5
pauw,0.8542126466887988,1
kei,1.4343334120752196,2
heup,1.07448623596865,1
poot,2.912129636865756,5
thee,2.6095250461921555,4
spaak,1.1406354128114733,1
cake,2.784091001850608,5
sjeik,2.089267318626015,3
puist,1.4245902133546868,2
geit,1.9845588585296317,3
pijp,1.1790997522898765,1
gaap,2.7139971755255945,4
scheut,1.760008461274991,3
feit,1.703828894588549,2
paus,0.9578855714172292,1
stoot,3.1169692694879614,5
kaas,1.1962305457865914,1
hei,1.0578723718258833,1
kuit,1.360967464382376,2
kuif,2.0436835163006037,3
teek,1.5569242021587193,2
feest,0.8855508329890256,1
poos,1.331434543255164,2
kou,2.3966376239378087,4
goot,3.105381347086666,5
steek,2.2815251109109407,4
huid,2.8654213204284367,5
aap,2.188347071975944,3
schaaf,2.5367023166903,4
keu,1.8830022964363837,3
steeg,2.2284102702716657,3
keus,2.3771136134590893,4
saus,1.8705139860686781,3
hoop,1.5419400270791628,2
schaap,1.1766245925745258,1
haast,2.1696302782984365,3
spook,3.0813038020695505,5
fee,3.020253266607229,5
toast,1.9980449937365912,3
taak,1.215872452755783,1
spuit,1.3660428351741707,2
huis,2.6746250447615907,4
kaak,2.4115266889406275,4
spijs,3.0744006042252536,5
pees,1.9672520784708258,3
staat,2.6306903854912065,4
kous,2.912335131513785,5
tape,2.0489664628922024,3
kuip,0.8840170304214022,1
peuk,2.8662843233218074,5
goud,2.4538195105856935,4
