stimulus,starting_erb,starting_bin
stoot,1.0536101112900893,1
poos,2.04564472791668,3
steeg,2.5496256150698864,4
kous,0.8745600580541009,1
hoofd,2.126827266958709,3
keus,2.918543764470398,5
hout,2.1717724524975135,3
kou,2.937337951987093,5
spaak,1.453662930020107,2
geit,2.506382194645755,4
feest,1.6078544754890218,2
steek,2.9064390968576372,5
teek,2.163257944869076,3
goud,2.924275432498274,5
kei,1.7692709503733475,3
hoop,2.0572327570863473,3
ijs,0.8184447973387592,1
spook,1.2204394314922395,1
cake,1.2414567285834102,1
feit,2.039539222748674,3
aas,2.03788637219863,3
pees,2.653099332203061,4
kuit,2.1200347712116243,3
schoot,2.0703534021395713,3
thee,3.010206233433488,5
staat,3.0600593334462394,5
schaaf,2.9305827954286,5
schaats,1.2112885559342705,1
haas,1.6697624631952468,2
goot,1.049378924297932,1
scheut,2.65201210207073,4
spuit,1.852098969759168,3
paus,1.7332461532705559,2
pook,2.901329506469597,5
kuip,1.5574444731836319,2
eik,2.7453069078178274,5
heup,1.375091695008942,2
toast,2.6583007525042466,4
huid,1.0611607312428974,1
huis,2.9952495198311295,5
keu,2.531530335852768,4
kuif,2.7064434944539006,4
taak,1.3834141780090623,2
puist,1.821415329854169,3
pijp,1.6842233649769156,2
spijs,0.8324459835323226,1
haast,2.6118515302828897,4
gaas,2.3411347570645584,4
gaap,2.730488906485084,5
poot,1.1507751253380119,1
kaas,1.5943748468725671,2
tape,2.4621345835568977,4
sjeik,2.473472060102522,4
fee,1.1280045967305696,1
aap,2.6494651309205763,4
hei,1.6707163725476524,2
oog,1.5563764888541525,2
cape,2.11473517237989,3
kaak,2.923954863117012,5
peuk,1.130208267563991,1
saus,2.273195143285706,4
geest,1.1249637983632779,1
schaap,1.6121084201140667,2
tijd,1.7493745998990815,2
touw,1.274712344993247,1
schijf,2.92891895345168,5
staaf,1.9520519254450301,3
haak,2.717475368052435,4
haag,3.0058623045929598,5
pauw,1.3351811202523711,2
