stimulus,starting_erb,starting_bin
cape,1.5154855010477952,2
kou,2.415127460915328,4
ijs,2.9758107198606627,5
pees,2.052331266677294,3
paus,1.095695469808558,1
sjeik,1.8251665635817647,3
stoot,2.7982048220649,5
hei,0.8362086447235412,1
poot,2.824205229740072,5
kuip,1.0966165714908684,1
taak,1.261247797409236,1
kuif,1.9036704355528635,3
kous,3.0007171324763036,5
keus,2.478135712091145,4
schaats,3.1932718746217335,5
schaap,1.024789484848357,1
hoop,1.3743930620503007,2
spuit,1.4078045025774335,2
goud,2.369191317265229,4
haas,1.0314385557934014,1
scheut,1.916112168332221,3
keu,1.8326453987497118,3
haak,2.16253669562187,3
peuk,2.860401985226636,5
schijf,2.3143458984240692,4
teek,1.2949602465972212,2
aap,2.1489226582832153,3
toast,1.8067053627842558,3
tijd,0.8170017625659002,1
steek,2.4871378565636846,4
heup,0.9221230368732667,1
haag,2.6275291355636967,4
cake,3.132516774230816,5
pijp,1.208228135169489,1
touw,2.8813185810611617,5
spaak,1.2661491701666148,1
goot,2.8444608177749497,5
kuit,1.4020940447832975,2
staaf,1.3310133436334959,2
huis,2.5060219398449926,4
pook,2.606027992209655,4
fee,3.1511612515013354,5
gaas,2.2242912789807368,3
spook,2.7682480733860344,5
eik,2.408128206529692,4
staat,2.6702042894869553,4
pauw,1.002554058126573,1
hout,1.3877675304928996,2
gaap,2.262851077119084,4
poos,1.6286590667860739,2
spijs,2.798174394075623,5
saus,2.199755803792548,3
huid,2.993822690596792,5
kaak,2.3055660702589704,4
steeg,2.078080025422313,3
kaas,1.020162571101464,1
thee,2.4778190923722607,4
puist,1.4161029419639752,2
geest,3.1597406780001673,5
feest,1.0606356330965854,1
aas,1.646347752284317,2
oog,0.9678899270661795,1
hoofd,1.5376636637515864,2
schoot,1.4080888626472507,2
haast,2.135817193473927,3
geit,1.984139156592082,3
kei,1.6160714077180356,2
tape,2.0526185289897017,3
schaaf,2.6608452582843927,4
feit,1.6747300109036385,2
