stimulus,starting_erb,starting_bin
toast,1.6292326118643685,2
keus,1.8521940740747627,3
paus,2.863466038736766,5
spook,2.5132934662213233,4
heup,2.856350931997165,5
haag,1.8055376424140228,3
aas,1.1872780848330018,1
pijp,2.813493889625269,5
schaaf,2.036751945190965,3
kaak,2.001143064052174,3
huid,2.2417690968005863,4
saus,1.446403843384032,2
pook,1.870552531334048,3
teek,1.1094850872670161,1
spaak,2.960234746317435,5
keu,1.7442325096987261,2
geit,1.548654704513695,2
scheut,1.6251690442150293,2
pauw,3.1175619513556527,5
aap,1.475344260772032,2
hout,1.0496023771301193,1
cake,2.260506592450496,4
ijs,2.5962497114354957,4
sjeik,1.4266945604403412,2
steek,1.8143498596045988,3
thee,2.0975509761595625,3
peuk,2.433542014722177,4
goud,1.8307270615373512,3
geest,2.6953966902945177,4
taak,2.9650243731369077,5
tijd,2.882728529741265,5
feit,0.9360962604129461,1
cape,1.0360653145806342,1
steeg,1.6508158506814496,2
stoot,2.365953789358123,4
schoot,1.0116370777569312,1
fee,2.2976068034112025,4
poos,0.9668806768755879,1
hoop,1.2712323265755368,1
schijf,2.093086302183973,3
poot,2.299698215154888,4
kou,1.8933936504486641,3
eik,1.9485667661826052,3
feest,3.1005041508499507,5
spijs,2.596141716462802,4
kuip,2.954387439875358,5
schaats,2.4175346900749837,4
hei,2.787095036990622,5
hoofd,1.1914959315719431,1
puist,0.916888878290662,1
goot,2.6492593145177623,4
kei,0.9541711526756887,1
haast,1.4893196413247467,2
oog,3.1017051293494307,5
pees,1.334718289410155,2
tape,1.4292603304783031,2
kous,2.403097202596143,4
staaf,0.9034604702346806,1
kaas,3.0083467461736197,5
haak,1.4480679843276487,2
spuit,0.9468827515245095,1
huis,2.0361209802770026,3
kuit,0.809633588794727,1
staat,2.0827012054536884,3
gaap,2.0499636957858622,3
schaap,2.7821956189922226,5
kuif,1.501989864685247,2
touw,2.326561759491125,4
haas,2.8958025330845856,5
gaas,1.3467289909845768,2
