stimulus,starting_erb,starting_bin
goud,2.2986390607692315,4
peuk,2.826981579412885,5
kuip,1.1046326078540727,1
tape,2.2275606414127025,3
kous,3.164068631948811,5
staat,2.6414115298626033,4
pees,1.943181670459108,3
spijs,3.034930846490725,5
kaak,2.5229711705214597,4
huis,2.369217524788289,4
spuit,1.5871941793629523,2
taak,1.0599338621309604,1
toast,2.2350320160152233,3
fee,3.051798103258302,5
spook,2.8746575565470107,5
haast,2.001171523492861,3
schaap,1.1500404387740175,1
hoop,1.7085481049112308,2
saus,2.0743579216134123,3
keus,2.3443301077779357,4
steeg,2.1760587459510394,3
keu,1.9870889008488777,3
schaaf,2.355608629846627,4
aap,2.05325770472939,3
huid,2.937684515408565,5
steek,2.485931976281701,4
goot,2.7769457276471683,5
kou,2.4437345988306167,4
poos,1.6450680096818386,2
feest,0.8986870189503641,1
teek,1.3511543938833146,2
kuif,1.9991972752784002,3
kuit,1.412887463024025,2
hei,0.9103727626686615,1
kaas,0.8582361167171596,1
stoot,2.976552725215627,5
paus,1.189840917671034,1
feit,1.5214256687093548,2
scheut,1.7773263976186926,3
gaap,2.5287290817380983,4
pijp,1.241152086438166,1
geit,1.8674149092028878,3
puist,1.7043048046729834,2
sjeik,1.9273709390063334,3
cake,3.106348946256295,5
spaak,0.9078699655362961,1
thee,2.4566742578800342,4
poot,3.071590656864714,5
heup,1.0968141665029152,1
kei,1.5265589379506739,2
pauw,0.9715354455818029,1
touw,2.84395259255374,5
haag,2.5133101929437296,4
aas,1.4459969488196442,2
schoot,1.706556200004814,2
hoofd,1.3247747597723933,2
geest,2.9946750158582343,5
staaf,1.5323470260131877,2
schaats,3.159000100358692,5
eik,2.2675646013830097,4
ijs,3.186437092759689,5
haas,0.8876349403917859,1
cape,1.575220388381961,2
tijd,0.8863357638053277,1
hout,1.3259966677842783,2
oog,1.2056667276096296,1
pook,2.273462455932333,4
gaas,1.814546601670376,3
haak,1.8332622133791578,3
schijf,2.6291092849617677,4
