stimulus,starting_erb,starting_bin
puist,2.679570030487459,4
kuif,3.1923191789601773,5
gaas,3.0236807166487956,5
goud,0.8601288211498229,1
toast,2.8627586711520387,5
feest,1.9758859000967872,3
geit,2.7783808589587142,5
fee,1.376006416699418,2
cape,2.5546738053522735,4
pijp,1.8259398175463577,3
scheut,2.825120079250766,5
spook,1.4518578935884825,2
saus,2.9757362258950546,5
ijs,1.5947949529384007,2
schaaf,1.085730332775531,1
sjeik,2.935703348567451,5
steek,1.100141702435237,1
haak,2.788411957469825,5
tijd,2.0222164891348156,3
kuip,2.1888160891754227,3
hei,1.7619649654160041,3
schoot,2.7144723171776772,4
kuit,2.306928708428742,4
kous,1.5928249387747135,2
schaap,2.001839433149864,3
tape,2.850837354693145,5
cake,1.5568552390730108,2
hout,2.6887758288064356,4
spuit,2.519169187784072,4
taak,1.800279961627956,3
huid,1.381538943603616,2
spijs,1.7267351472236994,2
hoop,2.651096517445707,4
kaak,1.1957002246714115,1
aap,2.889834868389788,5
spaak,2.196822734803534,3
thee,0.8982992736203411,1
haag,1.0751468521536003,1
oog,2.0852422644458484,3
stoot,1.6045382718953747,2
gaap,0.8798563100621618,1
huis,0.9568132359365819,1
eik,1.1834108101110508,1
pees,3.1019586990825943,5
geest,1.5164673316051054,2
heup,2.059521141469001,3
poos,2.4508275809069637,4
feit,2.3653276010399,4
schaats,1.7529143984788504,2
keus,1.2385050878058737,1
pauw,2.1318869412742765,3
kei,2.295711079845856,4
hoofd,2.3118122862946135,4
schijf,0.9537397718399592,1
goot,1.5012115552450374,2
haast,2.748123399654168,5
kaas,1.8183488835538881,3
paus,2.2048398444619437,3
keu,3.0376014919024357,5
staat,1.2140000353119649,1
teek,2.3897322265486562,4
steeg,2.9296522043244937,5
pook,1.2422497628662459,1
touw,1.600354278943062,2
peuk,1.6065676501948736,2
poot,1.5992082144901132,2
haas,2.130324789541245,3
staaf,2.2818499259299507,4
aas,2.4397344847938633,4
kou,1.0851125947852476,1
