stimulus,starting_erb,starting_bin
steeg,2.632343322186686,4
eik,2.9010823703156428,5
sjeik,2.6367125476058777,4
haas,1.4198653345064285,2
scheut,2.563168187582266,4
pijp,1.683733612295181,2
paus,1.635120038726242,2
hei,1.3106124730376993,2
goot,1.0147058461258458,1
pees,2.4083046195555857,4
spook,1.267801265253808,1
haak,2.6450125596449157,4
saus,2.7011873240711335,4
toast,2.362980510147365,4
spijs,0.912079974762922,1
staat,2.974023249793147,5
haast,2.6950381632707465,4
keus,3.091033632105556,5
huis,2.9457606405285275,5
geit,2.6024697808038826,4
schoot,1.9076981565658304,3
cape,2.0890892636533858,3
kou,3.0180179351674368,5
tape,2.4995806750336356,4
kuip,1.5514492664947264,2
kaak,3.0876895910147395,5
kuif,2.7031199109476907,4
pauw,1.6960748984507341,2
goud,2.8190966863079066,5
taak,1.4424553885821298,2
feit,2.071237775477682,3
huid,0.9355693990575614,1
keu,2.615057475466142,4
geest,1.1547423251984337,1
oog,1.5144766103960718,2
kous,0.8235618206371726,1
thee,2.8471498881569,5
feest,1.5407156162126545,2
hout,1.9362695197228426,3
schijf,3.0767717216104975,5
fee,0.9836540693838262,1
kei,1.944015066247827,3
kuit,2.222988080118191,3
staaf,1.7877777797768581,3
schaats,1.2401669687394308,1
hoop,1.8475495578052366,3
poot,1.0210274265041854,1
heup,1.5034588608768624,2
steek,3.010226549609594,5
gaas,2.6357728312338806,4
aas,1.9374776725437435,3
cake,1.1586046591912982,1
peuk,1.0633069516958091,1
hoofd,2.092863876108071,3
puist,2.0673523604963737,3
schaaf,3.128301045681214,5
touw,0.933394715090287,1
aap,2.3237316629809266,4
stoot,1.1542476014871688,1
pook,3.0324707583154176,5
spaak,1.679960893035454,2
spuit,2.029338348711386,3
gaap,3.061036756938238,5
schaap,1.3535091470862648,2
kaas,1.3086948543554429,2
teek,2.237639648792358,3
haag,3.1784639047747563,5
poos,1.8602155630669905,3
tijd,1.6749555125510882,2
ijs,1.1422428346551166,1
