stimulus,starting_erb,starting_bin
keu,3.0627239058197895,5
feit,2.2842606051407235,4
goud,0.9825536875972773,1
paus,1.9425615378299375,3
scheut,3.065200287195759,5
stoot,1.5308584906439227,2
ijs,1.3668231271210118,2
schaaf,1.2688891320896505,1
kuip,1.7895135588565967,3
kaak,1.0222346146617567,1
geit,2.8921867914217625,5
cape,2.5293720126876105,4
poot,1.7581897290204187,2
toast,2.8761507539272575,5
kou,0.8151182805733642,1
eik,0.8919920535274668,1
spook,1.7562267577754183,2
spijs,1.619191327790391,2
sjeik,2.7838974318149114,5
hoofd,2.6424154633908326,4
saus,3.0734420964215676,5
aap,2.7286427414765813,5
heup,2.114625886301519,3
kuit,2.6835149119862733,4
haak,3.102745053588295,5
tijd,2.0475318962671496,3
teek,2.639231220021362,4
staaf,2.2862081232502343,4
hout,2.2652886127580074,4
tape,3.1500217059555258,5
fee,1.323809466431121,2
pijp,2.0423282888006025,3
thee,0.8705987578283964,1
spaak,1.9132606063653173,3
cake,1.5080851552131125,2
staat,1.1071678426100586,1
steek,1.1775111299165935,1
kuif,3.027166728762709,5
gaap,1.0022478573008415,1
schaats,1.735634992548253,2
schoot,2.2910806113115476,4
taak,2.1062560313117675,3
schijf,1.1824066701080342,1
gaas,3.1119091191455257,5
aas,2.383193695958766,4
haag,0.9330008908241775,1
hei,1.8734357648692528,3
goot,1.7488426279169254,2
huis,1.2091130251861706,1
feest,1.947738225086515,3
oog,2.1338212369038208,3
keus,1.2211340949977751,1
kous,1.3272984046077603,2
pook,1.1250018978031457,1
puist,2.2698288314889945,4
steeg,3.08434613897858,5
kaas,1.8459238037912549,3
haas,1.8309406335949518,3
spuit,2.3277872305005562,4
haast,3.078782130748993,5
poos,2.585258738710916,4
pees,2.7663037709178817,5
hoop,2.6960264832152054,4
kei,2.3265084445233306,4
geest,1.7142399807334774,2
huid,1.3881388746204721,2
schaap,1.767967714777313,3
pauw,1.924174073569169,3
touw,1.7288902133528918,2
peuk,1.7339878153126014,2
