stimulus,starting_erb,starting_bin
pauw,1.7294921429734806,2
haag,2.8675362730622345,5
haak,2.276209891453542,4
staaf,1.7773642482094512,3
schijf,2.752250814255198,5
touw,0.8771853863754576,1
tijd,1.4412965784051166,2
schaap,1.357681373397246,2
geest,1.258888036810942,1
saus,2.6729522585935293,4
peuk,1.0786873099756977,1
kaak,3.0171226459085734,5
cape,1.974252594086908,3
oog,1.6854886087211969,2
hei,1.686678887924969,2
aap,2.3412638498583296,4
fee,1.1955009847119553,1
sjeik,2.4894255348328147,4
tape,2.685972368855828,4
kaas,1.6084303740590722,2
poot,0.8915651171599911,1
gaap,2.741766679131955,5
gaas,2.3886239891656276,4
haast,2.3338835777447358,4
spijs,0.8307924376761877,1
pijp,1.647315575438666,2
puist,1.7888457775398068,3
taak,1.6880502180866959,2
kuif,2.395057806690703,4
keu,2.3897842053679357,4
huis,2.886550867039852,5
huid,0.857136723092196,1
toast,2.3084874483667193,4
heup,1.4284315154827696,2
eik,2.9176620648885105,5
kuip,1.4575438163634544,2
pook,2.9010021691422723,5
paus,1.5799393218537983,2
spuit,1.7822496761767384,3
scheut,2.2512459689975626,4
goot,1.247519902600224,1
haas,1.438994243356574,2
schaats,1.0903568055503432,1
schaaf,3.032390439319253,5
staat,2.998936748534065,5
thee,3.008875078586781,5
schoot,1.8180262017008397,3
kuit,2.0423173017228984,3
pees,2.575858644731956,4
aas,1.7607175688706973,3
feit,2.02861992312127,3
cake,1.1487726662753255,1
spook,1.1452478685134562,1
ijs,1.15549976725837,1
hoop,1.9527207792967047,3
kei,1.7961441855720224,3
goud,2.8780251460596498,5
teek,2.2224460800523635,3
steek,3.0722771811709793,5
feest,1.7340013810625423,2
geit,2.2980192995331374,4
spaak,1.449740083380897,2
kou,2.9082652683086243,5
hout,2.2116004661773285,3
keus,3.192156715890474,5
hoofd,2.0781051382097098,3
kous,0.9913400502125989,1
steeg,2.3534731727574862,4
poos,1.783099364538327,3
stoot,0.8735439332242154,1
