stimulus,starting_erb,starting_bin
kou,1.2260445787700447,1
aas,2.44202991460394,4
staaf,2.717882024531553,4
haas,1.7784714992649986,3
poot,1.6010261070863023,2
peuk,1.3067215102332979,2
touw,1.462800693760104,2
pook,0.9777523424975659,1
steeg,2.98633301804903,5
teek,2.4974855009893755,4
staat,0.9127580014194218,1
keu,3.1416876429551257,5
paus,1.9045034870811297,3
kaas,1.850299478674779,3
haast,3.126740604850474,5
goot,1.4992851775051372,2
schijf,1.2377685194582895,1
hoofd,2.332901800706859,4
kei,2.295998450004647,4
pauw,2.060778051233564,3
keus,0.835693740593904,1
schaats,1.662485672490108,2
feit,2.3525234739759893,4
poos,2.292670567073297,4
heup,2.0695245692612634,3
geest,1.4729177799772897,2
pees,3.0145619343315615,5
eik,0.8202515502367834,1
huis,1.2573580876413195,1
gaap,0.915377756927919,1
stoot,1.7383768663840522,2
oog,2.000914017828955,3
haag,1.083020286198869,1
thee,0.9256644514848367,1
spaak,1.9072945430473274,3
aap,2.755074041104293,5
kaak,1.0066643016191725,1
hoop,2.646155117041871,4
spijs,1.4511283145195497,2
huid,1.4697338946356793,2
taak,2.0007877581475833,3
spuit,2.282197775090738,4
hout,2.270524475838039,4
cake,1.5529410381383228,2
tape,2.918927198822782,5
schaap,1.948111891503153,3
kous,1.62439518628578,2
kuit,2.617223952360238,4
schoot,2.5449732963996183,4
hei,2.0962228671568477,3
kuip,1.8778536776062067,3
tijd,2.2133337789093055,3
haak,2.7879425286335775,5
steek,1.0683751114972289,1
sjeik,3.025279171846127,5
schaaf,1.1951631184363514,1
ijs,1.3521084932432037,2
saus,2.9809702594707295,5
spook,1.3638331996672584,2
scheut,3.13689798113693,5
pijp,1.8244740462285136,3
cape,2.520691814815741,4
fee,1.281721308096574,2
geit,2.748756182972478,5
feest,2.0361937469919527,3
toast,2.963387753766867,5
goud,1.2792332377868911,1
gaas,2.8221677733488626,5
kuif,2.7723321226920246,5
puist,2.563294161377326,4
